brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
BMW,BMW 5 Series,520d Luxury Line,Diesel,Sedan,Automatic,1st Owner,1,19859,2019,2019,1949.5,20.37,177.54999999999998,372.5,Grey,TwinPower Turbo Inline 4 Cylinder Engine,8-Speed Steptronic,RWD,Power,182.5,11.549999999999997,3950000.0,Kolkata,6
Jeep,Jeep Wrangler,Rubicon BSVI,Petrol,SUV,Automatic,1st Owner,1,7405,2023,2023,1949.5,12.1,177.54999999999998,372.5,White,2.0L GME T4 DI TC,8 Speed,4WD,Power,170.0,12.9,6250000.0,Kolkata,2
Honda,Honda BR-V,i-VTEC V MT,Petrol,SUV,Manual,1st Owner,1,52922,2016,2016,1497.0,15.4,117.3,145.0,Silver,i-VTEC Petrol Engine,6 Speed,FWD,Power,170.0,12.9,620000.0,Kolkata,9
Ford,Ford Ecosport,1.5 Ti VCT MT Trend BSIV,Petrol,SUV,Manual,1st Owner,1,60000,2015,2015,1499.0,15.85,110.4,140.0,Red,Ti-VCT Petrol Engine,5 Speed,FWD,Power,182.0,14.350000000000001,350000.0,Kolkata,10
Hyundai,Hyundai Grand i10,1.2 Kappa Asta,Petrol,Hatchback,Manual,1st Owner,1,32000,2019,2019,1197.0,18.9,81.86,113.75,Blue,Kappa VTVT Petrol Engine,5 Speed,FWD,Power,165.0,12.9,463999.99999999994,Kolkata,6
Honda,Honda Jazz,1.2 V i VTEC,Petrol,Hatchback,Manual,2nd Owner,2,47739,2017,2017,1199.0,18.7,88.7,110.0,Red,i-VTEC Petrol Engine,5 Speed,FWD,Power,172.0,13.7,412000.0,Kolkata,8
Maruti,Maruti Alto K10,VXI AGS Optional,Petrol,Hatchback,Automatic,2nd Owner,2,10717,2019,2019,998.0,23.95,67.1,90.0,Silver,K Series Petrol Engine,5 Speed,FWD,Power,154.5,13.3,375000.0,Kolkata,6
Honda,Honda City,i DTEC VX,Diesel,Sedan,Manual,1st Owner,1,41000,2015,2015,1498.0,25.1,98.6,200.0,White,i DTEC Diesel Engine ,6 Speed ,FWD,Power,182.5,11.549999999999997,621000.0,Kolkata,10
Hyundai,Hyundai Santro,Magna Corp Edition,Petrol,Hatchback,Manual,2nd Owner,2,17619,2020,2020,1086.0,20.3,68.07,99.07,Silver,1.1 L Petrol,5 Speed,FWD,Electric,170.0,12.9,443000.0,Kolkata,5
Renault,Renault KWID,1.0 RXT Opt,Petrol,Hatchback,Manual,1st Owner,1,9221,2021,2021,999.0,21.74,67.0,91.0,Red,Petrol Engine,5 Speed,FWD,Electric,170.0,12.9,422000.0,Kolkata,4
